genre,text,clique_id,v,e,index,n_sentences
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,2,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,3,0.1,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,4,0.06666666666666667,0.002380952380952381,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,5,0.1875,0.005494505494505495,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,6,0.14285714285714285,0.0030303030303030303,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,7,0.09090909090909091,0.008,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,8,0.391304347826087,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,9,0.5555555555555556,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryEgypt-hepple_clean.xml,10,0.5714285714285714,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,2,0,0.022222222222222223,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,3,0.05263157894736842,0.004273504273504274,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,4,0.2,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,5,0.25,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,6,0.047619047619047616,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,7,0.125,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,8,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,9,0.3,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFWI-hepple_clean.xml,10,0.125,0.0017006802721088435,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,2,0.2857142857142857,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,3,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,4,0.05555555555555555,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,5,0.125,0.004081632653061225,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,6,0.05,0.0012531328320802004,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,7,0.09090909090909091,0.003278688524590164,global,10
