genre,text,index,type,value
biomed,data/oanc_xml/biomed_1468-6708-3-4-hepple_clean.xml,pairwise,v,0.0989636871403707
biomed,data/oanc_xml/biomed_1468-6708-3-4-hepple_clean.xml,pairwise,e,0.003282309994226049
biomed,data/oanc_xml/biomed_1468-6708-3-7-hepple_clean.xml,global,v,0.6489235027530358
biomed,data/oanc_xml/biomed_1468-6708-3-7-hepple_clean.xml,global,e,0.0010783553689303774
biomed,data/oanc_xml/biomed_1468-6708-3-7-hepple_clean.xml,local,v,0.1788042304481976
biomed,data/oanc_xml/biomed_1468-6708-3-7-hepple_clean.xml,local,e,0.002173973511218173
biomed,data/oanc_xml/biomed_1468-6708-3-7-hepple_clean.xml,pairwise,v,0.09396647113517163
biomed,data/oanc_xml/biomed_1468-6708-3-7-hepple_clean.xml,pairwise,e,0.001787498601918515
biomed,data/oanc_xml/biomed_1471-213X-1-1-hepple_clean.xml,global,v,0.6944489157169195
biomed,data/oanc_xml/biomed_1471-213X-1-1-hepple_clean.xml,global,e,9.646392730545942e-4
biomed,data/oanc_xml/biomed_1471-213X-1-1-hepple_clean.xml,local,v,0.21046260675472772
biomed,data/oanc_xml/biomed_1471-213X-1-1-hepple_clean.xml,local,e,0.002086086731222801
biomed,data/oanc_xml/biomed_1471-213X-1-1-hepple_clean.xml,pairwise,v,0.12454068677189983
biomed,data/oanc_xml/biomed_1471-213X-1-1-hepple_clean.xml,pairwise,e,0.0012620716510620097
biomed,data/oanc_xml/biomed_1471-213X-1-2-hepple_clean.xml,global,v,0.7625895839367998
biomed,data/oanc_xml/biomed_1471-213X-1-2-hepple_clean.xml,global,e,9.542013842374002e-4
biomed,data/oanc_xml/biomed_1471-213X-1-2-hepple_clean.xml,local,v,0.22386334259634086
biomed,data/oanc_xml/biomed_1471-213X-1-2-hepple_clean.xml,local,e,0.0024868452695669192
biomed,data/oanc_xml/biomed_1471-213X-1-2-hepple_clean.xml,pairwise,v,0.07652817873590605
biomed,data/oanc_xml/biomed_1471-213X-1-2-hepple_clean.xml,pairwise,e,0.0021069104562079404
biomed,data/oanc_xml/biomed_1471-213X-1-3-hepple_clean.xml,global,v,0.7706942987830884
biomed,data/oanc_xml/biomed_1471-213X-1-3-hepple_clean.xml,global,e,0.0011279886612153096
biomed,data/oanc_xml/biomed_1471-213X-1-3-hepple_clean.xml,local,v,0.18209405293828151
biomed,data/oanc_xml/biomed_1471-213X-1-3-hepple_clean.xml,local,e,0.0031753264422302425
biomed,data/oanc_xml/biomed_1471-213X-1-3-hepple_clean.xml,pairwise,v,0.09396393022604857
biomed,data/oanc_xml/biomed_1471-213X-1-3-hepple_clean.xml,pairwise,e,0.0018365153407178222
biomed,data/oanc_xml/biomed_1471-213X-1-4-hepple_clean.xml,global,v,0.6981765909740162
biomed,data/oanc_xml/biomed_1471-213X-1-4-hepple_clean.xml,global,e,7.280229400584888e-4
biomed,data/oanc_xml/biomed_1471-213X-1-4-hepple_clean.xml,local,v,0.2342852153984912
biomed,data/oanc_xml/biomed_1471-213X-1-4-hepple_clean.xml,local,e,8.90941515752949e-4
biomed,data/oanc_xml/biomed_1471-213X-1-4-hepple_clean.xml,pairwise,v,0.10662321286436369
biomed,data/oanc_xml/biomed_1471-213X-1-4-hepple_clean.xml,pairwise,e,0.0010534725709943446
biomed,data/oanc_xml/biomed_1471-213X-1-6-hepple_clean.xml,global,v,0.6941689488247822
biomed,data/oanc_xml/biomed_1471-213X-1-6-hepple_clean.xml,global,e,7.012931411437582e-4
biomed,data/oanc_xml/biomed_1471-213X-1-6-hepple_clean.xml,local,v,0.08272366264626327
biomed,data/oanc_xml/biomed_1471-213X-1-6-hepple_clean.xml,local,e,0.00452746842512589
biomed,data/oanc_xml/biomed_1471-213X-1-6-hepple_clean.xml,pairwise,v,0.038959916481194255
biomed,data/oanc_xml/biomed_1471-213X-1-6-hepple_clean.xml,pairwise,e,0.0033114243994994963
icic,data/oanc_xml/icic_102CTL002-hepple_clean.xml,global,v,0.3464229894856493
icic,data/oanc_xml/icic_102CTL002-hepple_clean.xml,global,e,0.0049481447784568665
icic,data/oanc_xml/icic_102CTL002-hepple_clean.xml,local,v,0.1321078431372549
icic,data/oanc_xml/icic_102CTL002-hepple_clean.xml,local,e,0.004296066252587992
icic,data/oanc_xml/icic_102CTL002-hepple_clean.xml,pairwise,v,0.09015774293907286
icic,data/oanc_xml/icic_102CTL002-hepple_clean.xml,pairwise,e,0.008111384239453063
icic,data/oanc_xml/icic_102CTL003-hepple_clean.xml,global,v,0.4057572761377109
icic,data/oanc_xml/icic_102CTL003-hepple_clean.xml,global,e,0.0022058908846189548
icic,data/oanc_xml/icic_102CTL003-hepple_clean.xml,local,v,0.18131628838150576
icic,data/oanc_xml/icic_102CTL003-hepple_clean.xml,local,e,0.0037915177294262263
icic,data/oanc_xml/icic_102CTL003-hepple_clean.xml,pairwise,v,0.1523092191076381
icic,data/oanc_xml/icic_102CTL003-hepple_clean.xml,pairwise,e,0.003718973027518164
icic,data/oanc_xml/icic_102CTL004-hepple_clean.xml,global,v,0.3665469631378722
icic,data/oanc_xml/icic_102CTL004-hepple_clean.xml,global,e,0.004520065072013124
icic,data/oanc_xml/icic_102CTL004-hepple_clean.xml,local,v,0.22067755476846385
icic,data/oanc_xml/icic_102CTL004-hepple_clean.xml,local,e,0.0065656565656565654
icic,data/oanc_xml/icic_102CTL004-hepple_clean.xml,pairwise,v,0.17978551751279023
icic,data/oanc_xml/icic_102CTL004-hepple_clean.xml,pairwise,e,0.011611135978019094
icic,data/oanc_xml/icic_103C-L055-hepple_clean.xml,global,v,0.3135321275946276
icic,data/oanc_xml/icic_103C-L055-hepple_clean.xml,global,e,0.005690211307237131
icic,data/oanc_xml/icic_103C-L055-hepple_clean.xml,local,v,0.05902205433455433
icic,data/oanc_xml/icic_103C-L055-hepple_clean.xml,local,e,0.016940670289855072
icic,data/oanc_xml/icic_103C-L055-hepple_clean.xml,pairwise,v,0.09229192104192105
icic,data/oanc_xml/icic_103C-L055-hepple_clean.xml,pairwise,e,0.006637937562303504
icic,data/oanc_xml/icic_103C-L056-hepple_clean.xml,global,v,0.4176102957545805
icic,data/oanc_xml/icic_103C-L056-hepple_clean.xml,global,e,0.0031689639771279184
icic,data/oanc_xml/icic_103C-L056-hepple_clean.xml,local,v,0.15828373015873015
icic,data/oanc_xml/icic_103C-L056-hepple_clean.xml,local,e,0.006041042626187553
icic,data/oanc_xml/icic_103C-L056-hepple_clean.xml,pairwise,v,0.06559745548033119
icic,data/oanc_xml/icic_103C-L056-hepple_clean.xml,pairwise,e,0.0033531144472230545
icic,data/oanc_xml/icic_105CWL038-hepple_clean.xml,global,v,0.39414011914011915
icic,data/oanc_xml/icic_105CWL038-hepple_clean.xml,global,e,0.0030446368988035653
icic,data/oanc_xml/icic_105CWL038-hepple_clean.xml,local,v,0.19611915861915863
icic,data/oanc_xml/icic_105CWL038-hepple_clean.xml,local,e,0.004419191919191919
icic,data/oanc_xml/icic_105CWL038-hepple_clean.xml,pairwise,v,0.17024873274873276
icic,data/oanc_xml/icic_105CWL038-hepple_clean.xml,pairwise,e,0.004502795175453127
